Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Mono-Faction?,Custom Trait1,Custom Trait2,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
Bryan Shaw,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,1,,4,2,0,6,72.50,51.83,66.67%,66.67%,6,,6,4,2,0,0.67,72.50,51.83,66.67%,66.67%,72.50,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Jeremiah Petit,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,4,2,0,6,84.83,71.00,66.67%,66.67%,6,,6,4,2,0,0.67,84.83,71.00,66.67%,66.67%,84.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Nathan Bates,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,2,3,1,6,84.00,75.33,41.67%,41.67%,6,,6,2,3,1,0.42,84.00,75.33,41.67%,41.67%,84.00,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Nicolas Weiss,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,,,,4,2,0,6,85.50,58.50,66.67%,,6,,,4,2,0,0.67,85.50,58.50,66.67%,66.67%,85.50,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Ryan Snyder,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,4,2,0,6,76.33,62.33,66.67%,66.67%,6,,6,4,2,0,0.67,76.33,62.33,66.67%,66.67%,76.33,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
William Lewis,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,2,0,5,69.40,72.00,60.00%,60.00%,5,,5,3,2,0,0.60,69.40,72.00,60.00%,60.00%,69.40,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Anthony Birdsong,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,2,3,0,5,71.80,73.80,40.00%,40.00%,5,,5,2,3,0,0.40,71.80,73.80,40.00%,40.00%,71.80,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Stephen Henry IV,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,5,0,0,5,83.00,50.00,100.00%,100.00%,5,,5,5,0,0,1.00,83.00,50.00,100.00%,100.00%,83.00,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Stephen Henry IV,Adeptus Custodes,1,,1,,Shadowkeepers,1,,,,,5,0,0,5,83.00,50.00,100.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Tore Grodeland,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,,,,3,2,0,5,78.40,71.60,60.00%,,5,,,3,2,0,0.60,78.40,71.60,60.00%,60.00%,78.40,No,,Invasion GT,GT Pack,9th Open,12-Sep
Alex Terrasson,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,2,0,5,62.40,68.20,60.00%,60.00%,5,,5,3,2,0,0.60,62.40,68.20,60.00%,60.00%,62.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Alex Terrasson,Adeptus Custodes,1,,1,,Shadowkeepers,1,,,,,3,2,0,5,62.40,68.20,60.00%,,,5,,,,,,,,,,,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Danny Giles,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,2,0,5,66.60,58.20,60.00%,60.00%,5,,5,3,2,0,0.60,66.60,58.20,60.00%,60.00%,66.60,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Dineeth Liyanagama,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,,,,3,2,0,5,65.40,74.20,60.00%,,5,,,3,2,0,0.60,65.40,74.20,60.00%,60.00%,65.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Matt Hansen,Adeptus Custodes,1,,1,1,Shadowkeepers,1,1,,,,1,4,0,5,62.20,72.40,20.00%,,,5,,,,,0.20,62.20,72.40,,20.00%,,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Matthew Kinman,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,2,3,0,5,55.40,68.40,40.00%,40.00%,5,,5,2,3,0,0.40,55.40,68.40,40.00%,40.00%,55.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Aaron Cook,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,3,0,6,78.00,67.00,50.00%,50.00%,6,,6,3,3,0,0.50,78.00,67.00,50.00%,50.00%,78.00,No,,Iron Halo,GT Pack,9th Open,26-Sep
Mark Weiss,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,2,1,6,66.50,52.33,58.33%,58.33%,6,,6,3,2,1,0.58,66.50,52.33,58.33%,58.33%,66.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
Nathan Bates,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,2,1,6,66.33,60.17,58.33%,58.33%,6,,6,3,2,1,0.58,66.33,60.17,58.33%,58.33%,66.33,No,,Iron Halo,GT Pack,9th Open,26-Sep
Nicolas Weiss,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,,,,4,2,0,6,80.67,63.50,66.67%,,6,,,4,2,0,0.67,80.67,63.50,66.67%,66.67%,80.67,No,,Iron Halo,GT Pack,9th Open,26-Sep
Ryan Snyder,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,5,1,0,6,87.33,51.67,83.33%,83.33%,6,,6,5,1,0,0.83,87.33,51.67,83.33%,83.33%,87.33,Yes,,Iron Halo,GT Pack,9th Open,26-Sep
Scott Blegen,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,3,0,6,76.83,65.33,50.00%,50.00%,6,,6,3,3,0,0.50,76.83,65.33,50.00%,50.00%,76.83,No,,Iron Halo,GT Pack,9th Open,26-Sep
Trent Diesel,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,2,4,0,6,58.83,80.67,33.33%,33.33%,6,,6,2,4,0,0.33,58.83,80.67,33.33%,33.33%,58.83,No,,Iron Halo,GT Pack,9th Open,26-Sep
Anthony Pede,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,,,,1,4,0,5,32.00,71.60,20.00%,,5,,,1,4,0,0.20,32.00,71.60,20.00%,20.00%,32.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Adam Rosa,Adeptus Custodes,1,,1,,Shadowkeepers,1,1,,,,2,1,0,3,52.00,56.67,66.67%,,,3,,,,,,,,,66.67%,,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Daniel Hesters,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,4,1,0,5,78.20,68.40,80.00%,80.00%,5,,5,4,1,0,0.80,78.20,68.40,80.00%,80.00%,78.20,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Stan the T-Rex,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,3,2,0,5,77.40,78.00,60.00%,60.00%,5,,5,3,2,0,0.60,77.40,78.00,60.00%,60.00%,77.40,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Christopher Schade be Storr,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,mono,,,3,2,0,5,66.80,53.00,60.00%,60.00%,5,,5,3,2,0,0.60,66.80,53.00,60.00%,60.00%,66.80,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Peter Brückner,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,1,4,0,5,51.40,78.20,20.00%,20.00%,5,,5,1,4,0,0.20,51.40,78.20,20.00%,20.00%,51.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Philipp Schone,Adeptus Custodes,1,1,,1,Shadowkeepers,1,1,Mono,,,2,3,0,5,60.40,67.40,40.00%,40.00%,5,,5,2,3,0,0.40,60.40,67.40,40.00%,40.00%,60.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Are Verlo,Chaos Daemons,1,1,,1,Slaanesh,1,1,Mono,,,5,0,0,5,94.20,64.00,100.00%,100.00%,5,,5,5,0,0,1.00,94.20,64.00,100.00%,100.00%,94.20,No,,Invasion GT,GT Pack,9th Open,12-Sep
Are Verlo,Chaos Daemons,1,,1,,Slaanesh,1,,,,,5,0,0,5,94.20,64.00,100.00%,,,5,,,,,,,,,,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Jay Hansen,Chaos Daemons,1,,1,,Slaanesh,1,1,,,,2,3,0,5,77.40,72.60,40.00%,,,5,,,,,,,,,40.00%,,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Rob Hambly,Chaos Daemons,1,1,,1,Slaanesh,1,1,Mono,,,2,3,0,5,61.40,71.20,40.00%,40.00%,5,,5,2,3,0,0.40,61.40,71.20,40.00%,40.00%,61.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Rob Hambly,Chaos Daemons,1,,1,,Slaanesh,1,,,,,2,3,0,5,61.40,71.20,40.00%,,,5,,,,,,,,,,,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Travis Starnes,Chaos Daemons,1,1,,1,Slaanesh,1,1,Mono,,,4,1,0,5,90.00,59.60,80.00%,80.00%,5,,5,4,1,0,0.80,90.00,59.60,80.00%,80.00%,90.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Mark Aescht,Chaos Daemons,1,,1,,Slaanesh,1,1,,,,4,1,0,5,84.60,62.20,80.00%,,,5,,,,,,,,,80.00%,,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Matthew Truell,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,5,1,0,6,74.67,57.67,83.33%,83.33%,6,,6,5,1,0,0.83,74.67,57.67,83.33%,83.33%,74.67,Yes,,Vanguard Tactics GS,GT Pack,9th Open,1-Aug
Colin McDade,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,5,1,0,6,80.67,50.33,83.33%,83.33%,6,,6,5,1,0,0.83,80.67,50.33,83.33%,83.33%,80.67,Yes,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Matt Paul,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,3,3,0,6,62.67,62.50,50.00%,50.00%,6,,6,3,3,0,0.50,62.67,62.50,50.00%,50.00%,62.67,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Matthew Runde,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,2,4,0,6,61.67,76.83,33.33%,33.33%,6,,6,2,4,0,0.33,61.67,76.83,33.33%,33.33%,61.67,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Brad Weir,Harlequins,1,1,,1,Soaring Spite,1,1,,,,2,3,0,5,67.00,57.20,40.00%,,5,,,2,3,0,0.40,67.00,57.20,40.00%,40.00%,67.00,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Shelby Hall,Harlequins,1,1,,1,Soaring Spite,1,1,,,,2,3,0,5,49.80,67.00,40.00%,,5,,,2,3,0,0.40,49.80,67.00,40.00%,40.00%,49.80,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Curt Phillips,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,1,4,0,5,59.60,71.20,20.00%,20.00%,5,,5,1,4,0,0.20,59.60,71.20,20.00%,20.00%,59.60,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Anders Gajardo Westrum-Rein,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,3,2,0,5,70.60,68.80,60.00%,60.00%,5,,5,3,2,0,0.60,70.60,68.80,60.00%,60.00%,70.60,No,,Invasion GT,GT Pack,9th Open,12-Sep
Mariusz Wawrzyn,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,4,1,0,5,78.00,61.40,80.00%,80.00%,5,,5,4,1,0,0.80,78.00,61.40,80.00%,80.00%,78.00,No,,Invasion GT,GT Pack,9th Open,12-Sep
Nicolai Jorgensen,Harlequins,1,1,,1,Soaring Spite,1,1,,,,3,2,0,5,68.00,78.00,60.00%,,5,,,3,2,0,0.60,68.00,78.00,60.00%,60.00%,68.00,No,,Invasion GT,GT Pack,9th Open,12-Sep
Chris Robinson,Harlequins,1,1,,1,Soaring Spite,1,1,,,,2,3,0,5,57.80,53.20,40.00%,,5,,,2,3,0,0.40,57.80,53.20,40.00%,40.00%,57.80,No,,Brisbane GT,GT Pack,9th Open,19-Sep
James Kelling,Harlequins,1,,1,1,Soaring Spite,1,1,,,,4,2,0,6,71.17,66.50,66.67%,,,6,,,,,0.67,71.17,66.50,,66.67%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Matthew Runde,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,5,1,0,6,82.50,39.50,83.33%,83.33%,6,,6,5,1,0,0.83,82.50,39.50,83.33%,83.33%,82.50,Yes,,Iron Halo,GT Pack,9th Open,26-Sep
Waz Bretherick,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,2,3,0,5,61.20,75.40,40.00%,40.00%,5,,5,2,3,0,0.40,61.20,75.40,40.00%,40.00%,61.20,No,,Stay Safe and Play GT,GT Pack,9th Open,26-Sep
David Hall,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,4,1,0,5,66.00,58.80,80.00%,80.00%,5,,5,4,1,0,0.80,66.00,58.80,80.00%,80.00%,66.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Joshua Reasoner,Harlequins,1,1,,1,Soaring Spite,1,1,mono,,,3,2,0,5,74.00,59.40,60.00%,60.00%,5,,5,3,2,0,0.60,74.00,59.40,60.00%,60.00%,74.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Michael Dehoyos,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,3,1,0,4,76.00,67.75,75.00%,75.00%,4,,4,3,1,0,0.75,76.00,67.75,75.00%,75.00%,76.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Michael Sims,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,2,3,0,5,57.80,53.20,40.00%,40.00%,5,,5,2,3,0,0.40,57.80,53.20,40.00%,40.00%,57.80,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Andreas Kjell,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,4,1,0,5,76.40,62.20,80.00%,80.00%,5,,5,4,1,0,0.80,76.40,62.20,80.00%,80.00%,76.40,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Candace Scully,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,1,4,0,5,39.00,57.00,20.00%,20.00%,5,,5,1,4,0,0.20,39.00,57.00,20.00%,20.00%,39.00,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Andreas Bergsten,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,4,1,0,5,14.00,6.00,80.00%,80.00%,5,,5,4,1,0,0.80,14.00,6.00,80.00%,80.00%,14.00,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Björn Pilebro,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,2,3,0,5,10.60,9.40,40.00%,40.00%,5,,5,2,3,0,0.40,10.60,9.40,40.00%,40.00%,10.60,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Joel Hedman,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,2,3,0,5,8.40,11.60,40.00%,40.00%,5,,5,2,3,0,0.40,8.40,11.60,40.00%,40.00%,8.40,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Jon Borg,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,4,1,0,5,14.20,5.80,80.00%,80.00%,5,,5,4,1,0,0.80,14.20,5.80,80.00%,80.00%,14.20,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Pierre Amico,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,4,1,0,5,14.80,5.20,80.00%,80.00%,5,,5,4,1,0,0.80,14.80,5.20,80.00%,80.00%,14.80,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Frank Holert,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,3,2,0,5,58.00,53.80,60.00%,60.00%,5,,5,3,2,0,0.60,58.00,53.80,60.00%,60.00%,58.00,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Hanjo Seibert,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,3,2,0,5,61.40,52.00,60.00%,60.00%,5,,5,3,2,0,0.60,61.40,52.00,60.00%,60.00%,61.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Matthias Bellmann,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,5,0,0,5,70.40,38.00,100.00%,100.00%,5,,5,5,0,0,1.00,70.40,38.00,100.00%,100.00%,70.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Michael Gemmeke,Harlequins,1,1,,1,Soaring Spite,1,1,Mono,,,5,0,0,5,78.80,24.20,100.00%,100.00%,5,,5,5,0,0,1.00,78.80,24.20,100.00%,100.00%,78.80,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Adam Shepherd-Jones,Adeptus Custodes,1,1,,1,Solar Watch,1,1,Mono,,,5,1,0,6,78.17,45.67,83.33%,83.33%,6,,6,5,1,0,0.83,78.17,45.67,83.33%,83.33%,78.17,Yes,,Vanguard Tactics GS,GT Pack,9th Open,1-Aug
Joshua Freeman,Adeptus Custodes,1,1,,1,Solar Watch,1,1,Mono,,,3,3,0,6,69.83,67.00,50.00%,50.00%,6,,6,3,3,0,0.50,69.83,67.00,50.00%,50.00%,69.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Jeremiah Petit,Adeptus Custodes,1,1,,1,Solar Watch,1,1,Mono,,,5,1,0,6,82.17,46.00,83.33%,83.33%,6,,6,5,1,0,0.83,82.17,46.00,83.33%,83.33%,82.17,Yes,,Iron Halo,GT Pack,9th Open,26-Sep
Jacob Hutchinson,Adeptus Custodes,1,1,,1,Solar Watch,1,1,Mono,,,3,2,0,5,55.60,39.20,60.00%,60.00%,5,,5,3,2,0,0.60,55.60,39.20,60.00%,60.00%,55.60,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Jack Plant,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,4,1,0,5,77.40,35.80,80.00%,80.00%,5,,5,4,1,0,0.80,77.40,35.80,80.00%,80.00%,77.40,No,,Adelaide GT,GT Pack,9th Open,1-Aug
David Arimond,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,4,2,0,6,73.83,49.00,66.67%,66.67%,6,,6,4,2,0,0.67,73.83,49.00,66.67%,66.67%,73.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Peyton Harris,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,1,4,1,6,51.00,81.00,25.00%,25.00%,6,,6,1,4,1,0.25,51.00,81.00,25.00%,25.00%,51.00,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Tom Coppin,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,3,2,0,5,65.00,70.00,60.00%,60.00%,5,,5,3,2,0,0.60,65.00,70.00,60.00%,60.00%,65.00,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Hunter Nichols,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,3,0,5,62.20,63.40,40.00%,40.00%,5,,5,2,3,0,0.40,62.20,63.40,40.00%,40.00%,62.20,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Mike Sanchez,Space Wolves,1,,1,1,Space Wolves,1,1,,,,2,2,1,5,67.60,74.00,50.00%,,,5,,,,,0.50,67.60,74.00,,50.00%,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Rob Triplett,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,3,1,1,5,70.80,72.00,70.00%,70.00%,5,,5,3,1,1,0.70,70.80,72.00,70.00%,70.00%,70.80,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Rob Triplett,Space Wolves,1,,1,,Space Wolves,1,,,,,3,1,1,5,70.80,72.00,70.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Todd Coker,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,3,0,5,69.60,63.00,40.00%,40.00%,5,,5,2,3,0,0.40,69.60,63.00,40.00%,40.00%,69.60,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Aron Green,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,3,2,0,5,80.40,54.40,60.00%,60.00%,5,,5,3,2,0,0.60,80.40,54.40,60.00%,60.00%,80.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
James Fuller,Space Wolves,1,1,,1,Space Wolves,1,1,,,,3,2,0,5,72.00,62.60,60.00%,,5,,,3,2,0,0.60,72.00,62.60,60.00%,60.00%,72.00,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Bambam Hunter,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,4,2,0,6,73.50,65.17,66.67%,66.67%,6,,6,4,2,0,0.67,73.50,65.17,66.67%,66.67%,73.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
David Arimond,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,4,0,6,46.17,68.50,33.33%,33.33%,6,,6,2,4,0,0.33,46.17,68.50,33.33%,33.33%,46.17,No,,Iron Halo,GT Pack,9th Open,26-Sep
David Arimond,Space Wolves,1,,1,,Space Wolves,1,,,,,2,4,0,6,46.17,68.50,33.33%,,,6,,,,,,,,,,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Isaiah Garcia,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,1,4,1,6,41.00,75.00,25.00%,25.00%,6,,6,1,4,1,0.25,41.00,75.00,25.00%,25.00%,41.00,No,,Iron Halo,GT Pack,9th Open,26-Sep
Peyton Harris,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,4,0,6,33.83,52.67,33.33%,33.33%,6,,6,2,4,0,0.33,33.83,52.67,33.33%,33.33%,33.83,No,,Iron Halo,GT Pack,9th Open,26-Sep
Tony Pectol,Space Wolves,1,1,,1,Space Wolves,1,1,mono,,,0,1,0,1,36.00,98.00,0.00%,0.00%,1,,1,0,1,0,0.00,36.00,98.00,0.00%,0.00%,36.00,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Jose Capestany,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,4,1,0,5,76.80,54.40,80.00%,80.00%,5,,5,4,1,0,0.80,76.80,54.40,80.00%,80.00%,76.80,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
William Torres,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,3,0,5,68.00,77.80,40.00%,40.00%,5,,5,2,3,0,0.40,68.00,77.80,40.00%,40.00%,68.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Johan Nicolaisen,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,5,0,0,5,91.20,35.40,100.00%,100.00%,5,,5,5,0,0,1.00,91.20,35.40,100.00%,100.00%,91.20,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Niels Jonsson,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,4,1,0,5,88.80,55.20,80.00%,80.00%,5,,5,4,1,0,0.80,88.80,55.20,80.00%,80.00%,88.80,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Drew Gilbert,Space Wolves,1,1,,1,Space Wolves,1,1,mono,,,2,3,0,5,49.60,59.00,40.00%,40.00%,5,,5,2,3,0,0.40,49.60,59.00,40.00%,40.00%,49.60,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Gavin Cross,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,1,3,0,4,46.75,67.75,25.00%,25.00%,4,,4,1,3,0,0.25,46.75,67.75,25.00%,25.00%,46.75,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Gavin Cross,Space Wolves,1,,1,,Space Wolves,1,,,,,1,3,0,4,46.75,67.75,25.00%,,,4,,,,,,,,,,,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Matthew Mullins,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,3,0,5,64.80,77.00,40.00%,40.00%,5,,5,2,3,0,0.40,64.80,77.00,40.00%,40.00%,64.80,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Robert Blackwell,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,3,2,0,5,78.40,70.00,60.00%,60.00%,5,,5,3,2,0,0.60,78.40,70.00,60.00%,60.00%,78.40,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Wes Talley,Space Wolves,1,,1,1,Space Wolves,1,1,,,,2,3,0,5,63.80,58.80,40.00%,,,5,,,,,0.40,63.80,58.80,,40.00%,,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Weston Slaght,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,4,1,0,5,82.00,53.20,80.00%,80.00%,5,,5,4,1,0,0.80,82.00,53.20,80.00%,80.00%,82.00,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Kettil Dereborn,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,1,2,2,5,8.40,11.60,40.00%,40.00%,5,,5,1,2,2,0.40,8.40,11.60,40.00%,40.00%,8.40,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Roger Larsson,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,2,1,5,9.20,10.80,50.00%,50.00%,5,,5,2,2,1,0.50,9.20,10.80,50.00%,50.00%,9.20,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Tobias Lönnberg,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,3,0,5,9.80,10.20,40.00%,40.00%,5,,5,2,3,0,0.40,9.80,10.20,40.00%,40.00%,9.80,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Florian Schulz,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,1,4,0,5,43.20,61.20,20.00%,20.00%,5,,5,1,4,0,0.20,43.20,61.20,20.00%,20.00%,43.20,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Jannik Prohaska,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,2,3,0,5,51.80,68.40,40.00%,40.00%,5,,5,2,3,0,0.40,51.80,68.40,40.00%,40.00%,51.80,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Steffen Kurth,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,3,2,0,5,63.60,51.20,60.00%,60.00%,5,,5,3,2,0,0.60,63.60,51.20,60.00%,60.00%,63.60,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Wesselin Georgiev,Space Wolves,1,1,,1,Space Wolves,1,1,Mono,,,3,2,0,5,62.40,51.20,60.00%,60.00%,5,,5,3,2,0,0.60,62.40,51.20,60.00%,60.00%,62.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
